The original unique number of found gadgets is: 67734
The unique number of found gadgets when ['--disable-largefile', '--disable-math', '--enable-shared=no', '--enable-tempstore', '--enable-editline', '--enable-debug', '--enable-memsys3', '--enable-memsys5', '--enable-fts5', '--enable-update-limit', '--enable-rtree', '--with-pic', '--with-tcl=/usr/lib64'] is removed: 63180. Or, 6.7234% less
The unique number of found gadgets when ['--disable-libtool-lock', '--disable-largefile', '--disable-readline', '--enable-static', '--enable-releasemode', '--enable-debug', '--enable-memsys3', '--enable-memsys5', '--enable-geopoly', '--enable-rtree', '--enable-session', '--enable-gcov', '--with-pic'] is removed: 57865. Or, 14.5702% less
The unique number of found gadgets when ['--disable-libtool-lock', '--disable-threadsafe', '--disable-tcl', '--disable-readline', '--disable-amalgamation', '--enable-static', '--enable-fast-install', '--enable-releasemode', '--enable-editline', '--enable-memsys3', '--enable-fts3', '--enable-json1', '--enable-update-limit', '--with-tcl=/usr/lib64'] is removed: 67350. Or, 0.5669% less
The unique number of found gadgets when ['--disable-libtool-lock', '--disable-largefile', '--disable-threadsafe', '--enable-shared=no', '--enable-fast-install', '--enable-releasemode', '--enable-tempstore', '--enable-editline', '--enable-memsys5', '--enable-fts3', '--enable-fts4', '--enable-fts5', '--enable-update-limit', '--enable-geopoly', '--enable-rtree', '--enable-session', '--with-pic'] is removed: 79939. Or, 18.0190% more
The unique number of found gadgets when ['--disable-option-checking', '--disable-libtool-lock', '--disable-threadsafe', '--disable-readline', '--disable-amalgamation', '--disable-load-extension', '--disable-math', '--enable-shared=no', '--enable-static', '--enable-tempstore', '--enable-editline', '--enable-debug', '--enable-all', '--enable-memsys3', '--enable-fts4', '--enable-fts5', '--enable-json1', '--enable-rtree', '--with-gnu-ld'] is removed: 65233. Or, 3.6924% less
The unique number of found gadgets when ['--disable-load-extension', '--enable-static', '--enable-fast-install', '--enable-releasemode', '--enable-tempstore', '--enable-editline', '--enable-debug', '--enable-all', '--enable-memsys5', '--enable-fts4', '--enable-geopoly', '--with-pic', '--with-gnu-ld'] is removed: 65548. Or, 3.2273% less
The unique number of found gadgets when ['--disable-option-checking', '--disable-math', '--enable-static', '--enable-fast-install', '--enable-tempstore', '--enable-editline', '--enable-debug', '--enable-memsys5', '--enable-fts3', '--enable-fts5', '--enable-json1', '--enable-update-limit', '--enable-session', '--enable-gcov', '--with-gnu-ld', '--with-tcl=/usr/lib64'] is removed: 65216. Or, 3.7175% less
The unique number of found gadgets when ['--disable-libtool-lock', '--disable-threadsafe', '--disable-load-extension', '--disable-math', '--enable-shared=no', '--enable-fast-install', '--enable-memsys5', '--enable-fts3', '--enable-geopoly', '--enable-session'] is removed: 70511. Or, 4.0999% more
The unique number of found gadgets when ['--disable-largefile', '--disable-threadsafe', '--disable-readline', '--disable-amalgamation', '--disable-math', '--enable-fast-install', '--enable-releasemode', '--enable-tempstore', '--enable-memsys3', '--enable-memsys5', '--enable-fts4', '--enable-fts5', '--enable-json1', '--enable-rtree', '--enable-session', '--with-pic', '--with-gnu-ld'] is removed: 78572. Or, 16.0008% more
The unique number of found gadgets when ['--disable-option-checking', '--disable-largefile', '--disable-threadsafe', '--disable-amalgamation', '--disable-math', '--enable-shared=no', '--enable-tempstore', '--enable-editline', '--enable-debug', '--enable-all', '--enable-fts4', '--enable-update-limit', '--with-gnu-ld'] is removed: 65522. Or, 3.2657% less
The unique number of found gadgets when ['--disable-libtool-lock', '--disable-largefile', '--disable-threadsafe', '--disable-readline', '--disable-amalgamation', '--disable-math', '--enable-shared=no', '--enable-static', '--enable-debug', '--enable-all', '--enable-memsys3', '--enable-memsys5', '--enable-fts4', '--enable-update-limit', '--enable-rtree', '--enable-session', '--enable-gcov', '--with-gnu-ld'] is removed: 65294. Or, 3.6023% less
The unique number of found gadgets when ['--disable-option-checking', '--disable-libtool-lock', '--disable-largefile', '--disable-readline', '--disable-amalgamation', '--disable-load-extension', '--disable-math', '--enable-fast-install', '--enable-tempstore', '--enable-editline', '--enable-memsys3', '--enable-memsys5', '--enable-fts3', '--enable-fts4', '--enable-json1', '--with-pic'] is removed: 67300. Or, 0.6407% less
The unique number of found gadgets when ['--disable-option-checking', '--disable-largefile', '--disable-threadsafe', '--disable-tcl', '--disable-load-extension', '--enable-releasemode', '--enable-memsys3', '--enable-fts4', '--enable-fts5', '--enable-update-limit', '--enable-rtree', '--enable-session', '--enable-gcov', '--with-pic', '--with-tcl=/usr/lib64'] is removed: 78391. Or, 15.7336% more
The unique number of found gadgets when ['--disable-option-checking', '--disable-libtool-lock', '--disable-largefile', '--disable-amalgamation', '--disable-load-extension', '--disable-math', '--enable-shared=no', '--enable-releasemode', '--enable-debug', '--enable-all', '--enable-fts4', '--enable-fts5', '--enable-geopoly', '--enable-rtree', '--enable-session', '--enable-gcov', '--with-pic', '--with-tcl=/usr/lib64'] is removed: 65328. Or, 3.5521% less
The unique number of found gadgets when ['--disable-libtool-lock', '--disable-largefile', '--disable-threadsafe', '--disable-tcl', '--disable-amalgamation', '--disable-math', '--enable-static', '--enable-fast-install', '--enable-releasemode', '--enable-debug', '--enable-memsys3', '--enable-memsys5', '--enable-fts3', '--enable-json1', '--enable-rtree', '--with-pic'] is removed: 54293. Or, 19.8438% less
The unique number of found gadgets when ['--disable-option-checking', '--disable-libtool-lock', '--disable-largefile', '--disable-threadsafe', '--disable-tcl', '--disable-readline', '--disable-amalgamation', '--disable-load-extension', '--disable-math', '--enable-static', '--enable-all', '--enable-memsys3', '--enable-memsys5', '--enable-fts3', '--enable-update-limit', '--enable-geopoly', '--enable-session', '--with-tcl=/usr/lib64'] is removed: 79216. Or, 16.9516% more
The unique number of found gadgets when ['--disable-option-checking', '--disable-libtool-lock', '--enable-static', '--enable-releasemode', '--enable-debug', '--enable-memsys3', '--enable-memsys5', '--enable-fts3', '--enable-geopoly', '--enable-rtree', '--enable-session', '--with-pic', '--with-tcl=/usr/lib64'] is removed: 58048. Or, 14.3001% less
The unique number of found gadgets when ['--disable-option-checking', '--disable-libtool-lock', '--disable-threadsafe', '--disable-tcl', '--disable-readline', '--disable-amalgamation', '--enable-shared=no', '--enable-static', '--enable-editline', '--enable-debug', '--enable-json1', '--enable-geopoly', '--enable-rtree', '--enable-session', '--with-pic', '--with-gnu-ld'] is removed: 57364. Or, 15.3099% less
The unique number of found gadgets when ['--disable-option-checking', '--disable-libtool-lock', '--disable-threadsafe', '--disable-tcl', '--disable-readline', '--disable-amalgamation', '--disable-load-extension', '--enable-static', '--enable-releasemode', '--enable-tempstore', '--enable-editline', '--enable-debug', '--enable-memsys5', '--enable-json1', '--enable-update-limit', '--enable-session', '--with-pic', '--with-tcl=/usr/lib64'] is removed: 56734. Or, 16.2400% less
The unique number of found gadgets when ['--disable-option-checking', '--disable-load-extension', '--enable-tempstore', '--enable-editline', '--enable-debug', '--enable-all', '--enable-memsys3', '--enable-memsys5', '--enable-fts5', '--enable-geopoly', '--enable-session', '--with-pic'] is removed: 65548. Or, 3.2273% less
The unique number of found gadgets when ['--disable-libtool-lock', '--disable-largefile', '--disable-load-extension', '--disable-math', '--enable-shared=no', '--enable-fast-install', '--enable-tempstore', '--enable-debug', '--enable-all', '--enable-memsys3', '--enable-fts3', '--enable-json1', '--enable-update-limit', '--enable-session', '--enable-gcov'] is removed: 65294. Or, 3.6023% less
The unique number of found gadgets when ['--disable-option-checking', '--disable-libtool-lock', '--disable-load-extension', '--enable-releasemode', '--enable-tempstore', '--enable-editline', '--enable-all', '--enable-memsys3', '--enable-fts3', '--enable-fts4', '--enable-fts5', '--enable-json1', '--enable-rtree', '--enable-session', '--enable-gcov'] is removed: 79501. Or, 17.3724% more
The unique number of found gadgets when ['--disable-option-checking', '--disable-largefile', '--disable-threadsafe', '--disable-tcl', '--disable-readline', '--disable-amalgamation', '--disable-load-extension', '--enable-tempstore', '--enable-editline', '--enable-fts3', '--enable-json1', '--enable-session', '--enable-gcov', '--with-pic', '--with-tcl=/usr/lib64'] is removed: 69602. Or, 2.7578% more
The unique number of found gadgets when ['--disable-option-checking', '--disable-largefile', '--disable-readline', '--disable-load-extension', '--enable-releasemode', '--enable-tempstore', '--enable-editline', '--enable-debug', '--enable-all', '--enable-memsys5', '--enable-json1', '--enable-update-limit', '--enable-geopoly'] is removed: 65683. Or, 3.0280% less
The unique number of found gadgets when ['--disable-amalgamation', '--enable-static', '--enable-releasemode', '--enable-update-limit', '--enable-session', '--with-gnu-ld'] is removed: 70840. Or, 4.5856% more
The unique number of found gadgets when ['--disable-option-checking', '--disable-libtool-lock', '--disable-amalgamation', '--disable-load-extension', '--disable-math', '--enable-shared=no', '--enable-static', '--enable-fast-install', '--enable-editline', '--enable-debug', '--enable-all', '--enable-memsys3', '--enable-memsys5', '--enable-fts4', '--enable-fts5', '--enable-json1', '--enable-geopoly', '--enable-gcov', '--with-gnu-ld'] is removed: 65524. Or, 3.2628% less
The unique number of found gadgets when ['--disable-option-checking', '--disable-amalgamation', '--enable-static', '--enable-fast-install', '--enable-editline', '--enable-debug', '--enable-all', '--enable-memsys3', '--enable-memsys5', '--enable-fts3', '--enable-update-limit', '--enable-geopoly', '--enable-rtree', '--enable-session', '--with-tcl=/usr/lib64'] is removed: 66114. Or, 2.3917% less
The unique number of found gadgets when ['--disable-tcl', '--disable-amalgamation', '--disable-load-extension', '--disable-math', '--enable-shared=no', '--enable-releasemode', '--enable-tempstore', '--enable-memsys5', '--enable-fts4', '--enable-json1', '--enable-geopoly', '--with-pic', '--with-gnu-ld'] is removed: 68492. Or, 1.1191% more
The unique number of found gadgets when ['--disable-libtool-lock', '--disable-largefile', '--disable-load-extension', '--disable-math', '--enable-fast-install', '--enable-all', '--enable-json1', '--enable-session', '--with-gnu-ld', '--with-tcl=/usr/lib64'] is removed: 79464. Or, 17.3177% more
The unique number of found gadgets when ['--disable-option-checking', '--disable-largefile', '--disable-tcl', '--disable-readline', '--enable-shared=no', '--enable-static', '--enable-tempstore', '--enable-debug', '--enable-json1', '--enable-gcov', '--with-gnu-ld', '--with-tcl=/usr/lib64'] is removed: 54744. Or, 19.1780% less
The unique number of found gadgets when ['--disable-largefile', '--disable-load-extension', '--enable-shared=no', '--enable-static', '--enable-fast-install', '--enable-tempstore', '--enable-all', '--enable-memsys3', '--enable-fts3', '--enable-fts4', '--enable-update-limit', '--enable-rtree', '--enable-session', '--enable-gcov', '--with-pic', '--with-gnu-ld'] is removed: 79714. Or, 17.6868% more
The unique number of found gadgets when ['--disable-option-checking', '--disable-tcl', '--enable-shared=no', '--enable-static', '--enable-releasemode', '--enable-tempstore', '--enable-editline', '--enable-debug', '--enable-memsys3', '--enable-memsys5', '--enable-fts4', '--enable-json1', '--enable-rtree', '--enable-gcov', '--with-pic'] is removed: 55026. Or, 18.7616% less
The unique number of found gadgets when ['--disable-libtool-lock', '--disable-readline', '--disable-amalgamation', '--disable-math', '--enable-releasemode', '--enable-editline', '--enable-debug', '--enable-all', '--enable-memsys3', '--enable-fts4', '--enable-fts5', '--enable-geopoly', '--enable-gcov', '--with-tcl=/usr/lib64'] is removed: 65547. Or, 3.2288% less
The unique number of found gadgets when ['--disable-option-checking', '--disable-largefile', '--disable-threadsafe', '--disable-readline', '--enable-shared=no', '--enable-releasemode', '--enable-tempstore', '--enable-editline', '--enable-debug', '--enable-memsys3', '--enable-memsys5', '--enable-fts3', '--enable-fts4', '--enable-update-limit', '--enable-geopoly', '--enable-session', '--enable-gcov', '--with-tcl=/usr/lib64'] is removed: 57972. Or, 14.4123% less
The unique number of found gadgets when ['--disable-libtool-lock', '--disable-readline', '--disable-load-extension', '--enable-releasemode', '--enable-debug', '--enable-all', '--enable-memsys3', '--enable-fts3', '--enable-fts4', '--enable-fts5', '--enable-json1', '--enable-geopoly', '--enable-rtree', '--enable-session', '--enable-gcov', '--with-pic', '--with-tcl=/usr/lib64'] is removed: 65429. Or, 3.4030% less
The unique number of found gadgets when ['--disable-option-checking', '--disable-libtool-lock', '--disable-readline', '--disable-amalgamation', '--disable-load-extension', '--disable-math', '--enable-releasemode', '--enable-editline', '--enable-fts4', '--enable-fts5', '--enable-update-limit', '--enable-geopoly', '--enable-rtree', '--with-pic', '--with-gnu-ld'] is removed: 76726. Or, 13.2755% more
The unique number of found gadgets when ['--disable-threadsafe', '--disable-tcl', '--disable-readline', '--disable-load-extension', '--enable-shared=no', '--enable-static', '--enable-editline', '--enable-all', '--enable-memsys5', '--enable-fts4', '--enable-json1', '--enable-update-limit', '--enable-rtree', '--enable-session', '--enable-gcov', '--with-gnu-ld', '--with-tcl=/usr/lib64'] is removed: 79417. Or, 17.2484% more
The unique number of found gadgets when ['--disable-libtool-lock', '--disable-threadsafe', '--disable-tcl', '--disable-readline', '--disable-amalgamation', '--disable-math', '--enable-static', '--enable-releasemode', '--enable-tempstore', '--enable-debug', '--enable-fts3', '--enable-fts4', '--enable-json1', '--with-tcl=/usr/lib64'] is removed: 54200. Or, 19.9811% less
The unique number of found gadgets when ['--disable-option-checking', '--disable-libtool-lock', '--disable-largefile', '--disable-readline', '--enable-shared=no', '--enable-static', '--enable-editline', '--enable-debug', '--enable-all', '--enable-memsys3', '--enable-fts3', '--enable-fts4', '--enable-fts5', '--enable-update-limit', '--enable-rtree', '--enable-gcov', '--with-gnu-ld', '--with-tcl=/usr/lib64'] is removed: 65765. Or, 2.9070% less
The unique number of found gadgets when ['--disable-option-checking', '--disable-libtool-lock', '--disable-tcl', '--disable-math', '--enable-shared=no', '--enable-static', '--enable-all', '--enable-fts4', '--enable-geopoly', '--enable-rtree', '--enable-gcov', '--with-gnu-ld'] is removed: 80474. Or, 18.8089% more
The unique number of found gadgets when ['--disable-option-checking', '--disable-largefile', '--disable-tcl', '--disable-amalgamation', '--enable-shared=no', '--enable-releasemode', '--enable-debug', '--enable-all', '--enable-memsys3', '--enable-fts3', '--enable-json1', '--enable-update-limit', '--enable-geopoly', '--with-pic', '--with-gnu-ld', '--with-tcl=/usr/lib64'] is removed: 65704. Or, 2.9970% less
The unique number of found gadgets when ['--disable-option-checking', '--disable-largefile', '--disable-threadsafe', '--disable-tcl', '--disable-amalgamation', '--disable-load-extension', '--disable-math', '--enable-static', '--enable-fast-install', '--enable-editline', '--enable-all', '--enable-memsys5', '--enable-fts3', '--enable-fts4', '--enable-fts5', '--enable-update-limit', '--enable-geopoly', '--enable-gcov', '--with-tcl=/usr/lib64'] is removed: 79333. Or, 17.1243% more
The unique number of found gadgets when ['--disable-largefile', '--disable-amalgamation', '--disable-math', '--enable-shared=no', '--enable-static', '--enable-releasemode', '--enable-tempstore', '--enable-editline', '--enable-fts3', '--enable-rtree', '--enable-session', '--with-pic', '--with-gnu-ld', '--with-tcl=/usr/lib64'] is removed: 70343. Or, 3.8518% more
The unique number of found gadgets when ['--disable-libtool-lock', '--disable-largefile', '--disable-threadsafe', '--disable-tcl', '--disable-amalgamation', '--disable-load-extension', '--enable-releasemode', '--enable-memsys3', '--enable-fts3', '--enable-fts5', '--enable-update-limit', '--enable-rtree', '--enable-session', '--enable-gcov', '--with-gnu-ld'] is removed: 78355. Or, 15.6805% more
The unique number of found gadgets when ['--disable-option-checking', '--disable-libtool-lock', '--disable-largefile', '--disable-tcl', '--disable-amalgamation', '--enable-shared=no', '--enable-static', '--enable-fast-install', '--enable-releasemode', '--enable-tempstore', '--enable-debug', '--enable-all', '--enable-fts4', '--enable-fts5', '--enable-json1', '--with-gnu-ld', '--with-tcl=/usr/lib64'] is removed: 65928. Or, 2.6663% less
